GB,target_id
GB50338,XM_016917824.2
GB50367,XM_026444278.1
GB50337,XM_006559860.3
GB50337,XM_016917922.2
GB50369,XM_006559861.3
GB50369,XM_001122042.5
GB50369,XM_006559863.3
GB50336,XM_003249530.4
GB50335,XM_001122063.4
GB50370,XM_395451.7
GB50371,XM_006559864.3
GB50371,XM_016917816.2
GB50333,XM_001120419.5
GB50372,XM_006559866.3
GB50372,XM_006559865.3
GB50372,XM_396286.7
GB50372,XM_016917857.1
GB50373,XM_026444332.1
GB50373,XM_026444329.1
GB50373,XM_026444339.1
GB50373,XM_026444337.1
GB50373,XM_026444360.1
GB50373,XM_026444355.1
GB50373,XM_026444340.1
GB50373,XM_026444349.1
GB50373,XM_026444358.1
GB50373,XM_026444350.1
GB50373,XM_026444370.1
GB50373,XM_026444362.1
GB50373,XM_026444334.1
GB50332,XM_026443780.1
GB50332,XM_026443778.1
GB50374,XM_006559882.3
GB50375,XM_006559884.3
GB48026,XM_026439028.1
GB48026,XM_026438982.1
GB48026,XM_026439001.1
GB48026,XM_026439016.1
GB48026,XM_026439022.1
GB48026,XM_026439025.1
GB48026,XM_026439026.1
GB48026,XM_026439004.1
GB48026,XM_026439000.1
GB48026,XM_026439013.1
GB48026,XM_016913949.2
GB48026,XM_026438998.1
GB48026,XM_026438987.1
GB48026,XM_026439010.1
GB48028,XM_394233.7
GB48028,XM_026443444.1
GB48022,XM_623297.6
GB48022,XM_006560256.3
GB48029,XM_001121709.5
GB48030,XM_026441732.1
GB48031,XR_001703847.2
GB48031,XM_001121762.5
GB48032,XM_016913395.2
GB48032,XM_016913396.2
GB48034,XM_026444000.1
GB48034,XM_026444001.1
GB48034,XM_026443993.1
GB48034,XM_026443997.1
GB48034,XM_026443999.1
GB48034,XM_026443995.1
GB48037,XM_026442847.1
GB48037,XM_026442853.1
GB48018,XM_003249619.4
GB48038,XM_016917958.2
GB48039,XM_006560271.3
GB48039,XM_026443482.1
GB48017,XM_395482.7
GB49723,XM_026439104.1
GB49723,XM_026439138.1
GB49723,XM_026439115.1
GB49723,XM_026439114.1
GB49723,XM_026439112.1
GB49723,XM_026439193.1
GB49723,XM_026439163.1
GB49723,XM_026439129.1
GB49723,XM_026439119.1
GB49723,XM_026439126.1
GB49723,XM_026439121.1
GB49723,XM_026439100.1
GB49723,XM_026439134.1
GB49723,XM_026439144.1
GB49723,XM_026439136.1
GB49723,XM_026439159.1
GB49723,XM_026439125.1
GB49723,XM_026439173.1
GB49723,XM_026439155.1
GB49723,XM_026439128.1
GB49723,XM_026439182.1
GB49723,XM_026439177.1
GB49723,XM_026439170.1
GB49723,XM_026439162.1
GB49723,XM_026439148.1
GB49723,XM_026439141.1
GB49723,XM_026439190.1
GB52267,XM_026446261.1
GB52266,XM_026442677.1
GB52266,XM_026442676.1
GB53219,XM_006561912.3
GB53220,XM_006561913.3
GB53220,XM_392160.6
GB53220,XM_026445754.1
GB53208,XR_409249.3
GB53208,XM_392161.7
GB53222,XM_392162.7
GB53223,XM_395780.7
GB53223,XM_006561916.3
GB53223,XM_006561915.3
GB53223,XM_026442581.1
GB53206,XM_026441250.1
GB53206,XM_026441248.1
GB53206,XM_026441254.1
GB53206,XM_026441253.1
GB53206,XM_026441258.1
GB53206,XM_026441242.1
GB53206,XM_026441246.1
GB53206,XM_026441259.1
GB53201,XM_623718.5
GB53228,XM_001120612.4
GB53229,XM_001120697.5
GB53230,NM_001040264.1
GB53199,XM_395266.7
GB53231,XM_026441293.1
GB53231,XM_026441285.1
GB53231,XM_026441289.1
GB52140,XR_003305418.1
GB52140,XR_003305417.1
GB52140,XR_003305406.1
GB52140,XR_003305404.1
GB52140,XM_026443160.1
GB52140,XM_026443149.1
GB52140,XM_026443148.1
GB52140,XM_026443146.1
GB52140,XM_026443162.1
GB52140,XM_026443157.1
GB53235,XM_006561922.3
GB53236,XM_396690.7
GB53236,XM_006561924.3
GB53237,XM_026443501.1
GB53196,XM_395573.6
GB14946,XM_026446262.1
GB53238,XM_003249940.4
GB53194,XM_006561926.2
GB53194,XM_016917948.2
GB53239,XM_016917879.2
GB53239,XM_003249936.4
GB53240,XR_003306171.1
GB53240,XM_624227.6
GB53192,XM_003249937.4
GB12942,XM_006561927.3
GB12942,XM_624278.6
GB12942,XM_006561928.3
GB53191,XM_624294.6
GB53190,XM_624461.6
GB53245,XM_393087.7
GB53189,XM_026442151.1
GB53189,XM_026442152.1
GB53189,XM_026442156.1
GB53246,XM_396881.6
GB53188,XM_006561938.2
GB53188,XM_397474.6
GB53247,XM_006561937.3
GB53249,XM_006561930.3
GB53249,XM_397473.6
GB53249,XM_006561931.3
GB53249,XM_016917793.2
GB53249,XM_016917794.2
GB53249,XM_006561936.3
GB53249,XM_006561934.3
GB53249,XM_006561935.3
GB53186,XM_625002.6
GB53250,XM_001121177.5
GB53250,XM_006561940.3
GB53185,XM_006561939.3
GB53184,XM_001121269.5
GB53251,XM_006561941.3
GB53251,XM_006561942.3
GB53253,XM_001121365.5
GB53253,XM_006561946.3
GB53183,XM_006561948.3
GB53256,XM_006561949.3
GB53256,XM_026441180.1
GB53180,XM_006561950.3
GB53178,XM_026446263.1
GB53257,XM_006561955.3
GB53257,XM_006561954.3
GB53177,XM_001121554.5
GB54847,XM_016917074.2
GB54847,XM_016917078.2
GB54847,XM_001121644.5
GB54847,XM_016917061.2
GB54848,XM_395605.6
GB54845,XM_624204.6
GB54851,XM_001123187.5
GB54851,XM_006562510.3
GB54851,XM_006562512.3
GB54851,XM_006562513.3
GB54851,XM_006562516.3
GB54851,XM_026438946.1
GB54851,XM_006562511.3
GB54851,XM_006562515.3
GB54852,XM_026441934.1
GB54852,XM_026441936.1
GB54852,XM_026441929.1
GB54852,XM_026441937.1
GB54844,XM_016917799.2
GB54844,XM_006562519.3
GB54844,XM_006562518.3
GB54854,XM_623804.6
GB54855,XM_623179.5
GB54843,XM_395743.7
GB54843,XM_006562520.3
GB54842,XM_623298.6
GB54841,XM_006562525.3
GB54841,XM_026446055.1
GB54841,XM_026446053.1
GB54841,XM_006562527.3
GB54841,XM_016913824.2
GB54841,XM_016913819.2
GB54841,XM_026446054.1
GB54841,XM_016913826.2
GB54841,XM_006562524.3
GB54841,XM_006562529.3
GB54841,XM_392157.6
GB54841,XM_006562526.3
GB54841,XM_006562523.3
GB54838,XM_006562539.3
GB54838,XM_006562538.3
GB54837,XM_623778.6
GB15798,XM_625118.6
GB54861,XM_006562537.3
GB54835,XM_016914069.2
GB54835,XM_006562536.3
GB54835,XM_016914074.2
GB54835,XM_006562535.3
GB54835,XM_395983.7
GB54831,XM_392156.7
GB54830,XM_006562540.3
GB54865,XM_394229.6
GB54829,XM_016914059.2
GB54829,XM_392155.7
GB54866,XM_026442974.1
GB54866,XM_026442966.1
GB54866,XM_026442970.1
GB54867,XM_006562544.3
GB54867,XM_016914045.2
GB54867,XM_006562547.3
GB54867,XM_016914051.2
GB54868,XM_394227.6
GB54827,XM_026439523.1
GB54827,XM_026439452.1
GB54827,XM_026439512.1
GB54827,XM_026439483.1
GB54827,NM_001145735.2
GB40936,XR_001706443.2
GB40936,XR_003304162.1
GB40938,XM_016917891.2
GB40963,XM_026441721.1
GB40963,XM_026441716.1
GB40963,XM_026441713.1
GB40963,XM_006562778.3
GB40955,XM_006562773.3
GB40955,XM_397174.7
GB40939,XM_001120404.5
GB40941,XM_393529.6
GB40941,XM_006562775.3
GB40944,XM_006562770.3
GB40944,XM_016916096.2
GB40944,XM_016916121.2
GB40944,XM_006562764.3
GB40944,XM_006562765.3
GB40944,XM_006562766.3
GB40944,XM_006562767.3
GB40944,XM_006562769.3
GB40944,XM_016916134.2
GB40944,XM_006562768.3
GB40944,XM_016916130.2
GB40944,XM_026446271.1
GB40944,XM_016916137.2
GB40949,XM_006562763.3
GB40945,XM_006562758.3
GB40945,XM_026444380.1
GB40945,XM_026444383.1
GB40946,XM_001120202.5
GB40946,XM_006562757.3
GB40948,XM_006562755.3
GB40948,XM_006562756.3
GB40948,XM_623086.6
GB40867,NM_001145738.1
GB40867,XM_006563202.3
GB40867,XM_016911642.2
GB40867,XM_016911667.2
GB40711,XM_392932.7
GB40866,NM_001160050.1
GB40712,XM_026446341.1
GB40712,XM_006563296.3
GB40713,NM_001011636.1
GB40864,XM_001119962.5
GB40716,XM_026445345.1
GB40862,XM_001120086.4
GB40717,XM_026440705.1
GB40717,XM_006563288.3
GB40861,XM_001120148.5
GB40861,XM_006563289.2
GB40861,XM_006563290.3
GB40718,NM_001178025.1
GB40718,NM_001178026.1
GB40718,XM_006563201.3
GB40859,XM_026439503.1
GB40859,XM_026439504.1
GB40720,XM_006563283.2
GB40858,XM_395653.6
GB19920,XM_395652.7
GB40857,XM_026444867.1
GB40857,XM_026444811.1
GB40857,XM_026444850.1
GB40857,XM_006563274.3
GB40857,XM_026444887.1
GB40857,XM_026444920.1
GB40857,XM_026444939.1
GB40848,XM_026445023.1
GB40845,XM_016912667.2
GB40845,XM_016912668.2
GB40845,XM_016912670.2
GB40845,XM_397542.7
GB40845,XM_006563272.3
GB40845,XM_016912672.2
GB40727,XM_394882.7
GB40727,XM_026445103.1
GB40843,XM_394881.7
GB40728,XM_394880.6
GB40728,XM_003250183.4
GB40842,XM_026441998.1
GB40842,XM_026442002.1
GB40842,XM_003250181.4
GB40842,XM_026442010.1
GB40842,XM_006563268.3
GB40842,XM_016912637.2
GB40842,XM_016912640.2
GB40839,XM_026441997.1
GB40839,XM_026441987.1
GB40838,XM_396791.5
GB40837,XM_624148.6
GB40836,XM_026442131.1
GB40730,XM_006563204.3
GB40730,NM_001134943.1
GB40731,XM_006563261.3
GB40732,XM_026439185.1
GB40732,NM_001134940.1
GB40733,NM_001134942.1
GB40833,XM_026441687.1
GB40833,XM_026441688.1
GB40833,XM_001121270.5
GB40833,XM_026441681.1
GB40734,XM_026444929.1
GB40735,XM_623339.6
GB40735,XM_006563260.2
GB40740,XM_026439889.1
GB40740,XM_026439890.1
GB40740,XM_026439887.1
GB40740,XM_026439875.1
GB40740,XM_026439892.1
GB40740,XM_026439894.1
GB40740,XM_026439880.1
GB40740,XM_026439891.1
GB40740,XM_016912484.2
GB40740,XM_016912486.2
GB40741,XM_006563258.3
GB40831,XM_006563255.3
GB40831,XM_026439970.1
GB40831,XM_026439974.1
GB40744,XM_394225.7
GB40830,XM_026439982.1
GB40830,XM_006563254.3
GB40830,XM_001121499.5
GB40830,XM_016912543.2
GB40828,XM_006563253.3
GB40745,XM_624418.6
GB40746,XM_006563252.3
GB40746,XM_395748.7
GB40746,XM_016912534.2
GB40747,XM_624691.6
GB40824,XM_006563251.2
GB40824,XM_016912531.1
GB40824,XM_016912526.2
GB40824,XM_624670.6
GB40748,XM_394846.6
GB40823,XM_026439867.1
GB40749,XM_026446265.1
GB40750,XM_026446133.1
GB40750,XM_026446132.1
GB40751,XM_006563246.3
GB40821,XM_003250185.4
GB40754,XM_016911875.2
GB40754,XM_016911869.2
GB40754,XM_026446016.1
GB40754,XM_026446015.1
GB52562,XM_026446017.1
GB40819,XM_016911899.2
GB40818,XM_016911857.2
GB40818,XM_016911850.2
GB40818,XM_016911847.2
GB40818,XM_026446011.1
GB40818,XM_026446012.1
GB40818,XM_026446013.1
GB40758,XM_006563203.3
GB40758,NM_001012429.1
GB40760,XM_624497.5
GB40816,XM_026440100.1
GB40816,XM_026440099.1
GB40816,XM_026440101.1
GB40816,XM_026440097.1
GB40816,XM_026440096.1
GB40761,XR_409612.3
GB40764,XM_026445921.1
GB40764,XM_006563243.3
GB40764,XM_026445912.1
GB40764,XM_006563239.3
GB40764,XM_006563240.3
GB40764,XM_016913868.2
GB40764,XM_026445884.1
GB40764,XM_026445894.1
GB40764,XM_026445906.1
GB40764,XM_026445899.1
GB40764,XM_026445916.1
GB40764,XM_026445924.1
GB40764,XM_016913893.2
GB40765,XM_006563235.3
GB40765,XM_006563236.3
GB40810,XM_006563238.3
GB40766,XM_026439522.1
GB40767,XM_393558.7
GB40809,XM_016911804.2
GB40809,XM_026440997.1
GB40809,XM_016911842.2
GB40809,NM_001305884.1
GB40769,XM_026443298.1
GB40770,XM_001120613.5
GB40771,XM_006563227.3
GB40771,XM_396281.7
GB40771,XM_016913321.2
GB40808,XR_003306470.1
GB40808,XM_026446009.1
GB40808,XM_026446007.1
GB40808,XM_026446008.1
GB40808,XM_026446005.1
GB40808,XM_026446006.1
GB40808,XM_026446003.1
GB40808,XM_026446004.1
GB40773,XM_623093.6
GB40773,XM_016913299.2
GB40773,XM_016913285.2
GB40773,XM_016913284.2
GB40773,XM_006563225.3
GB40807,XM_001120482.5
GB40805,XM_016913302.1
GB40805,XM_006563222.3
GB40805,XM_393026.7
GB40774,XM_026446266.1
GB40804,XM_026441480.1
GB40804,XM_026441465.1
GB40804,XM_026441494.1
GB40804,XM_026441473.1
GB40804,XM_026441481.1
GB40804,XM_026441492.1
GB40804,XM_026441487.1
GB40804,XM_026441484.1
GB40804,XM_026441501.1
GB40804,XM_026441485.1
GB40804,XM_026441491.1
GB40775,XM_006563220.3
GB40802,XM_016915602.2
GB40802,XM_016915604.2
GB40802,XM_393033.7
GB40777,XM_006563215.3
GB40801,XM_006563214.3
GB40801,XM_624357.5
GB40778,XM_624383.5
GB40779,XM_006563213.1
GB40780,XM_624431.5
GB40800,XM_001122788.5
GB40781,XM_001122793.5
GB40799,XM_003250195.4
GB40799,XM_006563212.3
GB40798,XR_409609.3
GB40798,XM_006563210.3
GB40782,XM_395937.7
GB40797,XM_006563209.3
GB40797,XM_001123247.4
GB40796,XM_026444137.1
GB40796,XM_006563207.3
GB40796,XM_001119847.5
GB40795,XM_001119900.5
GB40783,XM_623549.6
GB40784,XM_026444283.1
GB40794,XR_003304637.1
GB40794,XM_393448.7
GB40785,XM_001120149.5
GB51854,XM_026446083.1
GB51854,XM_026446080.1
GB51854,XM_026446087.1
GB51854,XM_026446090.1
GB51854,XM_026446091.1
GB51854,XM_026446081.1
GB51854,XM_026446089.1
GB51854,XM_026446088.1
GB51854,XM_026446095.1
GB51854,XM_026446084.1
GB51854,XM_026446086.1
GB51854,XM_026446093.1
GB51854,XM_026446096.1
GB51854,XM_026446099.1
GB51854,XM_026446082.1
GB51854,XM_026446085.1
GB51854,XM_026446092.1
GB51854,XM_026446094.1
GB51854,XM_026446098.1
GB51854,XM_026446100.1
GB51854,XM_026446097.1
GB51854,XM_026446079.1
GB51854,XM_026446077.1
GB51854,XM_026446078.1
GB51854,XM_016912447.2
GB51854,XM_026446072.1
GB51854,XM_026446073.1
GB51854,XM_026446076.1
GB51854,XM_026446075.1
GB51854,XM_026446074.1
GB51854,XM_006564975.3
GB51830,XR_001705731.2
GB51830,XR_410091.3
GB51830,XR_001705730.2
GB51830,XR_003306117.1
GB51828,XM_006564977.3
GB51828,XM_006564976.3
GB51828,XM_026446466.1
GB51822,XM_016910826.2
GB51822,NM_001080205.1
GB51863,XM_006564988.3
GB51863,XM_006564986.3
GB51863,XM_006564987.3
GB51820,XM_394219.6
GB51819,XM_003250519.4
GB51818,XM_394221.6
GB51818,XM_006564984.3
GB51818,XM_006564985.3
GB51817,XM_006564983.3
GB51816,XR_003306147.1
GB51816,XM_026445456.1
GB51815,XM_006564981.3
GB51815,XM_003250521.4
GB51814,XM_006564980.3
GB51814,XM_016914001.2
GB51814,XM_006564979.3
GB51813,XM_026445535.1
GB51812,XM_026445469.1
GB51812,XM_016913989.2
GB51812,XM_026445477.1
GB51812,XM_006564978.3
GB51812,XM_016913988.2
GB51807,XM_016911403.2
GB51807,XM_016911419.2
GB51807,XM_026439669.1
GB51807,XM_016911409.2
GB51807,XM_026439671.1
GB51807,XM_016911417.2
GB51807,XM_016911422.2
GB51807,XM_016911426.2
GB51807,XM_016911420.2
GB51807,XM_016911424.2
GB51807,XM_026439670.1
GB51806,XM_006564992.3
GB51806,XM_392150.6
GB51805,XM_394217.5
GB51805,XM_006564994.3
GB51866,XM_006564995.3
GB51866,XM_623779.5
GB51867,XM_397252.7
GB51802,XM_625247.6
GB48976,XM_026445226.1
GB48975,XM_006565280.3
GB48975,XM_026440516.1
GB48975,XM_016917904.2
GB48978,XM_016917903.2
GB48978,XM_006565282.3
GB48978,XM_006565281.3
GB48974,XM_006565283.3
GB48974,XM_393244.7
GB48980,XM_026446267.1
GB48981,XM_001122183.4
GB48982,XM_396506.7
GB48973,XM_026444323.1
GB48973,XM_026444299.1
GB48973,XM_026444205.1
GB48973,XM_026444168.1
GB48973,XM_026444266.1
GB48973,XM_016916411.2
GB48973,XM_016916410.2
GB48983,XM_006565295.3
GB48983,XM_394216.7
GB48983,XM_006565296.3
GB48972,XM_006565293.3
GB48972,XM_006565294.3
GB48972,XM_006565292.3
GB48972,XM_016910928.2
GB48972,XM_016910949.2
GB48986,XM_001122272.5
GB48987,XM_001122287.5
GB48988,XM_001122304.5
GB48991,XM_026446270.1
GB48969,XM_397512.5
GB48967,XM_016910982.2
GB48967,XM_016910975.2
GB48993,XM_026440425.1
GB48994,XM_396869.7
GB48994,XM_026441958.1
GB48966,NM_001252430.1
GB48996,XM_006565301.3
GB48965,XM_006565299.3
GB48965,XM_006565300.3
GB48965,XM_003250567.4
GB16496,XM_026440364.1
GB16496,XM_026440381.1
GB16496,XM_026440390.1
GB16496,XM_026440374.1
GB48999,XM_001122450.5
GB49000,XM_016914689.2
GB49000,XM_016914695.2
GB48963,XM_001122463.5
GB49001,XM_006565319.2
GB49001,XM_003250569.4
GB49001,XM_006565322.3
GB49001,XM_006565320.2
GB49001,XM_006565321.2
GB49004,XM_006565311.3
GB49004,XM_026446019.1
GB49004,XM_026446021.1
GB48962,XM_026446023.1
GB48962,XM_026446024.1
GB48962,XM_026446025.1
GB48962,XM_026446026.1
GB48961,XM_006565307.3
GB48960,XM_026446022.1
GB48960,XM_016914712.2
GB48960,XM_016914714.2
GB48958,XM_625242.6
GB43015,XM_026444045.1
GB43015,XM_026444047.1
GB43015,XM_026444016.1
GB43015,XM_026444029.1
GB43015,XM_026444019.1
GB43015,XM_006567937.3
GB43015,XM_006567940.3
GB43015,XM_006567938.3
GB43015,XM_006567939.3
GB43007,XM_394210.7
GB43006,XM_392145.7
GB43005,XM_003251100.4
GB43005,XM_003251101.4
GB43005,XM_394209.7
GB43016,XM_006567941.3
GB43004,XM_026443702.1
GB43004,XM_016914491.2
GB43004,XM_006567943.3
GB41024,XM_026443404.1
GB41024,XM_026443398.1
GB41024,XM_395867.7
GB41024,XM_006568140.3
GB41085,XM_006568141.3
GB41085,XM_001122977.5
GB41025,XM_001122973.4
GB41084,XM_026442931.1
GB41027,XM_623939.6
GB41083,XR_411126.3
GB41083,XM_006568137.3
GB41083,XM_003251140.4
GB41083,XM_006568138.3
GB41083,XM_393641.7
GB41083,XM_016917869.2
GB41083,XM_026443262.1
GB41083,XM_026443265.1
GB41082,XM_016917712.2
GB41082,XM_016917710.2
GB41082,XM_006568135.3
GB41082,XM_006568132.3
GB41082,XM_006568130.3
GB41082,XM_016917722.2
GB41082,XM_006568131.3
GB41082,XM_396043.7
GB41082,XM_006568133.3
GB41080,XM_395043.7
GB41079,XM_006568129.2
GB41079,XM_006568128.2
GB41028,XM_392639.6
GB41029,XM_395044.7
GB41029,XM_006568124.3
GB41029,XM_006568126.3
GB41030,XM_623090.6
GB41030,XM_006568123.3
GB12898,XM_016915774.2
GB12898,XM_001122896.5
GB41075,XM_026439447.1
GB41075,XM_026439418.1
GB41075,XM_026439428.1
GB41075,XM_026439431.1
GB41075,XM_026439430.1
GB41075,XM_026439445.1
GB41075,XM_026439437.1
GB41075,XM_026439436.1
GB41075,XM_026439433.1
GB41075,XM_026439439.1
GB41075,XM_026439450.1
GB41032,XM_006568119.3
GB41033,XM_001122237.5
GB41074,XM_026438914.1
GB41074,XM_026438911.1
GB41074,XM_026438906.1
GB41073,XR_001706186.2
GB41073,XR_001706185.2
GB41073,XM_006568110.3
GB41073,XM_016917322.2
GB41073,XM_006568111.3
GB41073,XM_006568109.3
GB41073,XM_006568112.3
GB41035,XM_016917743.2
GB41035,XM_396802.7
GB41069,XM_006568107.3
GB41069,XM_393418.7
GB41068,XM_393417.6
GB41037,XM_006568106.3
GB41037,XM_624116.6
GB41067,XM_393416.7
GB41038,XM_396915.6
GB41039,XM_396914.7
GB41065,XM_016912131.2
GB41065,XM_006568105.3
GB41065,XM_016912134.2
GB41065,XM_016912133.2
GB41063,XM_026444726.1
GB41063,XM_396912.7
GB41063,XM_006568096.3
GB41063,XM_006568094.3
GB41043,XM_003251133.4
GB41043,XM_016912146.2
GB41043,XM_006568098.3
GB41043,XM_006568099.3
GB41043,XM_006568100.3
GB41045,XM_393109.7
GB41045,XM_006568103.3
GB41045,XM_006568101.3
GB41045,XM_006568102.3
GB41046,XM_393110.7
GB41047,XM_026446245.1
GB41047,XM_026446246.1
GB41047,XM_026446244.1
GB41058,XR_001704910.2
GB46547,XM_006568491.3
GB46547,XM_393199.6
GB44821,XM_016916998.2
GB44821,XM_026441042.1
GB44821,XM_016917010.2
GB44821,XM_026441055.1
GB44821,XM_026441059.1
GB44821,XM_016917021.2
GB44821,XM_026441067.1
GB44821,XM_016917025.2
GB44821,XM_016917027.2
GB44821,XM_016917039.2
GB44821,XM_016917015.2
GB44821,XM_026441085.1
GB44821,XM_026441086.1
GB44821,XM_016917032.2
GB44824,NM_001143921.1
GB44824,XM_006568495.3
GB44824,XM_026439655.1
GB40868,XM_016914622.2
GB40871,XM_026446286.1
GB40871,XM_026446284.1
GB40871,XM_026446285.1
GB40871,XM_026446291.1
GB40871,XM_026446289.1
GB40871,XM_026446287.1
GB40871,XM_026446288.1
